person_id,vehicle_id,age_range,gender,majority_minority,education,income,married,children,postal_code
569520,569520,65+,female,majority,high school,upper class,0,1,10238
750365,750365,16-25,male,majority,none,poverty,0,0,10238
199901,199901,16-25,female,majority,high school,working class,0,0,10238
478866,478866,16-25,male,majority,university,working class,0,1,32765
731664,731664,26-39,male,majority,none,working class,0,0,32765
877557,877557,40-64,female,majority,high school,upper class,0,1,10238
930134,930134,65+,male,majority,high school,upper class,1,1,10238
461006,461006,26-39,female,majority,university,working class,0,1,10238
68366,68366,40-64,female,majority,university,working class,1,0,10238
445911,445911,40-64,female,majority,high school,upper class,0,1,32765
275820,275820,65+,male,majority,high school,upper class,1,1,10238
521399,521399,65+,female,majority,high school,upper class,1,0,32765
429728,429728,40-64,male,majority,high school,upper class,1,1,10238
980181,980181,26-39,male,majority,high school,middle class,1,1,10238
240658,240658,16-25,female,majority,high school,working class,0,1,10238
484399,484399,16-25,female,majority,high school,working class,0,0,10238
912828,912828,16-25,male,majority,high school,middle class,1,1,32765
892754,892754,40-64,male,majority,none,poverty,1,1,10238
633896,633896,65+,male,majority,high school,upper class,1,1,32765
193110,193110,26-39,female,majority,university,middle class,1,0,10238
98515,98515,40-64,male,majority,high school,middle class,0,0,10238
165623,165623,26-39,male,majority,none,poverty,1,0,10238
493590,493590,26-39,male,majority,university,middle class,0,0,10238
389792,389792,65+,male,majority,university,upper class,1,1,32765
642614,642614,40-64,male,majority,high school,middle class,1,1,92101
951465,951465,65+,female,majority,university,upper class,1,1,10238
496987,496987,16-25,male,majority,none,poverty,1,1,10238
732437,732437,16-25,male,majority,none,poverty,0,1,32765
146897,146897,26-39,female,majority,high school,middle class,1,1,21217
316173,316173,16-25,male,majority,university,working class,0,0,32765
9013,9013,26-39,male,majority,high school,working class,0,1,10238
485660,485660,40-64,male,majority,university,upper class,0,1,92101
80496,80496,65+,male,majority,high school,upper class,1,1,10238
478336,478336,40-64,male,majority,university,upper class,0,1,10238
10843,10843,40-64,male,majority,university,upper class,1,1,32765
397446,397446,16-25,male,majority,none,poverty,0,0,10238
101678,101678,26-39,female,majority,high school,poverty,0,1,10238
231661,231661,40-64,male,majority,high school,middle class,0,0,10238
173782,173782,65+,male,majority,high school,upper class,1,1,10238
98839,98839,26-39,female,minority,university,working class,0,1,32765
105372,105372,26-39,female,minority,none,working class,0,1,10238
888828,888828,40-64,male,majority,university,upper class,1,0,10238
37454,37454,26-39,female,majority,high school,working class,0,0,10238
370044,370044,65+,male,majority,university,upper class,1,1,32765
768282,768282,16-25,female,majority,university,working class,1,1,10238
738729,738729,16-25,female,majority,none,working class,1,1,10238
329536,329536,16-25,female,majority,high school,poverty,0,0,32765
328531,328531,40-64,female,majority,university,middle class,0,1,32765
131881,131881,26-39,male,majority,university,working class,0,0,10238
839572,839572,40-64,male,majority,high school,working class,1,1,10238
589757,589757,40-64,female,majority,high school,upper class,1,1,92101
336859,336859,16-25,female,majority,university,middle class,0,1,10238
367026,367026,40-64,female,minority,high school,working class,1,1,10238
334687,334687,40-64,female,minority,university,middle class,0,0,10238
623367,623367,65+,male,majority,university,upper class,1,1,32765
688440,688440,65+,male,majority,university,upper class,1,1,10238
547974,547974,65+,male,majority,high school,upper class,1,1,10238
989064,989064,26-39,male,majority,none,poverty,1,1,10238
675898,675898,16-25,male,majority,high school,middle class,0,1,10238
480452,480452,26-39,female,majority,university,upper class,1,1,10238
93199,93199,40-64,female,majority,university,middle class,1,1,10238
125802,125802,40-64,female,majority,university,upper class,1,1,10238
616663,616663,40-64,male,majority,university,upper class,0,0,10238
423497,423497,16-25,female,majority,high school,working class,0,0,10238
492837,492837,40-64,female,majority,university,upper class,1,1,10238
422563,422563,40-64,male,majority,university,upper class,0,1,10238
185231,185231,16-25,female,majority,high school,middle class,0,1,10238
949152,949152,26-39,female,majority,university,upper class,0,0,32765
859453,859453,26-39,male,majority,university,middle class,1,1,10238
466578,466578,26-39,female,majority,high school,middle class,0,1,10238
998214,998214,16-25,female,minority,none,poverty,0,0,10238
828462,828462,40-64,male,majority,high school,working class,0,1,10238
511837,511837,65+,male,majority,high school,middle class,1,1,32765
554995,554995,16-25,male,majority,university,upper class,1,1,10238
680717,680717,65+,male,majority,none,middle class,1,1,10238
978021,978021,40-64,male,majority,university,upper class,1,1,10238
6676,6676,40-64,female,majority,high school,upper class,0,1,10238
362280,362280,40-64,male,majority,high school,working class,0,0,10238
883018,883018,40-64,male,majority,high school,working class,0,1,10238
889355,889355,26-39,female,majority,university,upper class,1,1,10238
198273,198273,65+,male,majority,university,upper class,1,1,32765
197763,197763,40-64,male,majority,university,upper class,1,0,10238
545941,545941,40-64,female,majority,none,working class,1,1,10238
320444,320444,26-39,male,majority,none,poverty,0,1,10238
305793,305793,16-25,male,majority,high school,poverty,1,1,10238
362190,362190,16-25,male,majority,high school,poverty,0,0,10238
62647,62647,26-39,male,majority,high school,upper class,0,0,10238
296948,296948,40-64,male,majority,university,upper class,1,1,10238
