person_id,driving_experience_years,credit_score,vehicle_ownership,annual_mileage
569520,0-9,0.629027313918201,1,12000
750365,0-9,0.3577571170184627,0,16000
199901,0-9,0.4931457852181982,1,11000
478866,0-9,0.2060128507324556,1,11000
731664,10-19,0.3883658881572184,1,12000
877557,20-29,0.6191273725847388,1,13000
930134,30+,0.4929435502195342,0,13000
461006,0-9,0.468689297434465,0,14000
68366,20-29,0.5218149362971065,0,13000
445911,0-9,0.5615310319383646,1,11000
275820,30+,0.6203612640126029,1,10000
521399,30+,0.7298308815593941,1,12000
429728,20-29,0.6370447435902447,1,8000
980181,10-19,0.4615679630439447,1,12000
240658,0-9,0.4177139816231188,1,18000
484399,0-9,0.4095135306516067,0,17000
912828,0-9,0.5532600531952381,1,8000
892754,20-29,0.3309502618581893,1,13000
633896,30+,0.5006306604427161,1,7000
193110,10-19,0.5519701813636283,1,14000
98515,10-19,0.6269960497386653,1,13000
165623,10-19,0.2947974807719967,1,15000
493590,10-19,0.5519504952618395,0,17000
389792,0-9,0.649820471216227,1,9000
642614,20-29,0.5218044346397632,1,7000
951465,30+,0.7012683240604196,1,10000
496987,0-9,0.1712440288213211,1,9000
732437,0-9,0.3184419972124171,1,10000
146897,0-9,0.6046842696715551,1,11000
316173,0-9,0.5049948526440377,0,8000
9013,10-19,0.6251466352816216,1,17000
485660,10-19,0.5781305873212035,1,14000
80496,30+,0.7054542902137054,1,10000
478336,20-29,0.6595254905875941,1,16000
10843,20-29,0.5873836120460223,0,9000
397446,0-9,0.4064824253974476,0,16000
101678,10-19,0.2857471319596469,0,13000
231661,20-29,0.5022849652731057,0,14000
173782,20-29,0.6256257210210231,1,7000
98839,10-19,0.3931531299744003,1,12000
105372,10-19,0.5039497598168121,0,14000
888828,20-29,0.6586274302571438,1,14000
37454,0-9,0.5241464657501199,0,17000
370044,20-29,0.5531007570628673,0,7000
768282,0-9,0.4475509489142775,0,8000
738729,0-9,0.5107331365064207,1,7000
329536,0-9,0.4613735917269193,0,9000
328531,20-29,0.3875569443647317,0,12000
131881,10-19,0.5501250875743224,1,16000
839572,20-29,0.4529442316093683,0,12000
589757,20-29,0.5352743096602144,1,7000
336859,0-9,0.6147359485632915,1,15000
367026,10-19,0.5326613280250595,1,11000
334687,0-9,0.4277285143019345,1,15000
623367,20-29,0.6859457213719147,1,5000
688440,10-19,0.6936124267187082,1,10000
547974,20-29,0.5979905963582334,0,12000
989064,0-9,0.3308186664986927,0,12000
675898,0-9,0.5083042183803546,1,16000
480452,0-9,0.7641329165005233,1,12000
93199,0-9,0.4775169603837716,1,14000
125802,20-29,0.6812332078486962,1,10000
616663,0-9,0.4671555457007022,1,16000
423497,0-9,0.3941632454999797,1,16000
492837,10-19,0.6610607322734078,1,14000
422563,20-29,0.6651879748430346,0,14000
185231,0-9,0.560770206632082,1,11000
949152,10-19,0.7454327103696547,0,9000
859453,10-19,0.53257435224505,1,13000
466578,10-19,0.5267473391434415,1,14000
998214,0-9,0.4124517461654282,0,14000
828462,20-29,0.3871071449018297,0,16000
511837,10-19,0.5499938678343249,1,9000
554995,0-9,0.5853420947575604,1,12000
680717,30+,0.5987396054343311,1,14000
978021,20-29,0.6026557000791793,1,7000
6676,20-29,0.5586591735288894,0,15000
362280,10-19,0.6284070137170304,0,13000
883018,0-9,0.5057903732571783,1,13000
889355,10-19,0.7268184180645275,1,15000
198273,20-29,0.6904423335733175,1,9000
197763,20-29,0.4796771646619314,0,14000
545941,20-29,0.4405592041968235,1,11000
320444,0-9,0.3086490182004943,0,14000
305793,0-9,0.2458351852340737,0,11000
362190,0-9,0.3056465190413162,0,14000
62647,10-19,0.7440140862681482,1,13000
296948,10-19,0.6704645467899408,1,14000
673660,30+,0.6830407984824192,0,10000
945867,0-9,0.828628569053192,1,13000
241973,30+,0.6293380939717407,1,11000
429503,0-9,0.28372421050714,0,15000
810013,0-9,0.4576486815858435,1,14000
663458,0-9,0.3049876423937953,0,15000
879976,0-9,0.5517442884135392,0,10000
418841,0-9,0.3186855562451054,1,9000
542236,10-19,0.436944194154781,1,12000
937573,10-19,0.6291939843221722,1,7000
670850,0-9,0.4055600158887265,1,17000
151252,0-9,0.6235462115803201,1,11000
706349,10-19,0.7270329897821235,1,10000
602998,20-29,0.426828388879915,1,14000
242772,10-19,0.5036589704487734,1,10000
380740,30+,0.7264400018455291,1,7000
727943,0-9,0.5757707974509628,1,11000
261229,0-9,0.468671965728324,1,9000
60866,20-29,0.6970834558464781,0,13000
752797,20-29,0.5429181079423034,1,15000
45002,30+,0.6722562535141292,1,9000
482448,0-9,0.3864066185703315,0,8000
549142,0-9,0.5512978330713669,1,12000
95138,20-29,0.5985570254244251,0,14000
615991,20-29,0.5824219946087406,1,11000
807847,20-29,0.6330139475122963,1,14000
758983,20-29,0.552204630296896,1,12000
987114,0-9,0.3266816101781183,0,16000
873457,20-29,0.5880825424047316,1,13000
699703,0-9,0.7022748020975709,0,10000
563342,0-9,0.7266055391975765,1,13000
284106,30+,0.73238212135242,1,12000
78189,0-9,0.2012839211827758,1,12000
427520,10-19,0.4641607076311848,0,16000
689030,20-29,0.6579677428053038,1,13000
966467,30+,0.6002161554309658,1,13000
288712,30+,0.6663760181644964,1,12000
228114,0-9,0.4031472802313768,1,10000
63715,20-29,0.4169350441301069,1,13000
624077,30+,0.5948797136778915,1,8000
726352,10-19,0.3804265034620669,0,16000
792396,30+,0.680617632406099,1,12000
768933,0-9,0.3559504699938693,1,16000
579336,10-19,0.5733880426029547,1,10000
648922,0-9,0.2964062828237805,1,13000
47909,10-19,0.4295096986208441,1,10000
619577,30+,0.6885687186194461,1,11000
212678,20-29,0.700017431968704,1,13000
995884,20-29,0.6900455818778344,1,11000
226326,10-19,0.4960298730510012,1,13000
943922,10-19,0.6563457625165399,0,6000
510116,0-9,0.4983566259941653,1,12000
536546,0-9,0.5463825431033477,1,12000
75592,10-19,0.3158628767091658,1,11000
936820,10-19,0.3578391720711443,1,12000
634050,10-19,0.672756052841708,1,9000
558748,30+,0.6226519789949738,1,11000
856630,0-9,0.4801406677163008,0,14000
200009,30+,0.6787954309829434,1,11000
792252,20-29,0.5152467080125883,1,12000
462586,10-19,0.4899205986325767,1,13000
577965,30+,0.4219579486132668,1,11000
896587,30+,0.5581569698935803,1,14000
431538,0-9,0.19414954837432,0,12000
164516,0-9,0.300497330390378,0,13000
479577,20-29,0.6670906918498556,1,7000
938476,10-19,0.5952817629709132,1,8000
112454,0-9,0.3482357882933829,0,7000
91246,10-19,0.3566396714745861,1,8000
2743,10-19,0.3486591269429803,0,12000
248888,0-9,0.5594684860915574,1,12000
195523,0-9,0.514483730987584,0,12000
981926,20-29,0.5626384060668865,1,13000
593426,20-29,0.5717246252857962,1,15000
235574,30+,0.6510078690171576,1,12000
440993,0-9,0.3707348173567914,1,12000
446993,0-9,0.3051450776813433,1,14000
301242,10-19,0.4500145680826032,1,13000
7722,0-9,0.3357473732007096,0,15000
123443,10-19,0.5578403271955679,1,10000
112143,0-9,0.1924274124285441,0,11000
912138,10-19,0.3528243251354439,0,11000
601305,0-9,0.647569234863379,0,11000
602274,0-9,0.4572362634438549,1,10000
352099,10-19,0.5042469291759577,1,13000
660400,0-9,0.3749625006784157,1,15000
267614,0-9,0.6603156212983624,1,11000
974380,20-29,0.4169178873741152,1,12000
346585,10-19,0.6350840347750659,1,17000
