person_id,speeding_violations,duis,past_accidents,outcome
569520,0,0,0,0
750365,0,0,0,1
199901,0,0,0,0
478866,0,0,0,0
731664,2,0,1,1
877557,3,0,3,0
930134,7,0,3,0
461006,0,0,0,1
68366,0,0,0,0
445911,0,0,0,1
275820,6,2,7,0
521399,4,0,0,0
429728,4,1,2,0
980181,0,2,1,0
240658,0,0,0,1
484399,0,0,0,1
912828,0,0,0,1
892754,3,1,1,0
633896,13,2,3,0
193110,0,0,0,0
98515,1,1,0,0
165623,0,0,1,0
493590,0,0,1,0
389792,0,0,0,1
642614,2,0,1,0
951465,3,1,1,0
496987,0,0,0,0
732437,0,0,0,1
146897,0,0,0,1
316173,0,0,0,1
9013,3,0,2,0
485660,1,0,1,0
80496,5,1,3,0
478336,4,0,2,0
10843,10,2,0,0
397446,0,0,0,1
101678,1,0,0,1
231661,3,0,4,0
173782,7,0,5,0
98839,1,0,0,0
105372,1,0,0,0
888828,3,0,2,0
37454,0,0,0,1
370044,9,0,1,0
768282,0,0,0,1
738729,0,0,0,1
329536,0,0,0,1
328531,2,0,1,0
131881,0,1,0,0
839572,3,0,1,0
589757,2,0,0,0
336859,0,0,0,1
367026,0,0,0,0
334687,0,0,0,1
623367,4,1,4,0
688440,2,0,0,0
547974,2,1,7,1
989064,0,0,0,1
675898,0,0,0,0
480452,0,0,0,0
93199,0,0,0,0
125802,0,0,1,0
616663,0,0,0,0
423497,0,0,0,1
492837,0,0,0,0
422563,2,0,1,0
185231,0,0,0,0
949152,0,0,0,0
859453,1,0,2,0
466578,0,0,0,0
998214,0,0,0,1
828462,0,0,6,0
511837,3,1,1,0
554995,0,0,0,1
680717,6,1,3,0
978021,4,0,6,0
6676,3,0,2,0
362280,0,0,0,1
883018,0,0,0,0
889355,2,0,0,0
198273,8,0,2,0
197763,1,0,2,0
545941,1,0,2,0
320444,0,0,0,0
305793,0,0,0,1
362190,0,0,0,1
62647,2,0,1,0
296948,0,0,0,0
673660,4,1,3,0
945867,0,0,0,1
241973,2,0,2,0
429503,0,0,0,1
810013,0,0,0,1
663458,0,0,0,1
879976,0,0,0,1
418841,0,0,0,1
542236,3,0,0,0
937573,5,0,1,0
670850,0,0,0,1
151252,0,0,0,0
706349,1,1,2,0
602998,3,1,7,0
242772,1,2,0,0
380740,2,0,3,0
727943,0,0,0,1
261229,0,0,0,1
60866,3,0,2,0
752797,1,1,0,0
45002,4,1,2,0
482448,0,0,0,1
549142,0,0,0,1
95138,4,1,4,0
615991,2,0,1,0
807847,3,1,4,0
758983,6,0,3,0
987114,0,0,0,1
873457,7,1,1,0
699703,0,0,0,1
563342,0,0,0,0
284106,5,1,5,0
78189,0,0,0,1
427520,0,1,0,0
689030,1,0,1,0
966467,5,2,4,0
288712,3,0,7,0
228114,0,0,0,0
63715,5,1,5,0
624077,10,0,1,0
726352,1,0,1,0
792396,1,2,2,0
768933,0,0,0,1
579336,0,0,2,0
648922,0,0,0,1
47909,1,0,4,0
619577,2,0,0,0
212678,1,0,1,0
995884,2,1,1,0
226326,0,0,1,0
943922,8,0,0,0
510116,0,0,0,0
536546,0,0,0,0
75592,0,0,1,0
936820,1,0,0,1
634050,1,0,2,0
558748,1,0,0,0
856630,0,0,0,1
200009,5,1,3,0
792252,2,0,1,0
462586,3,0,1,0
577965,4,0,6,0
896587,0,0,0,0
431538,0,0,0,1
164516,0,0,0,1
479577,4,0,0,0
938476,1,0,1,0
112454,0,0,0,1
91246,3,0,1,0
2743,0,0,0,1
248888,0,0,0,1
195523,0,0,0,1
981926,2,1,0,0
593426,2,2,1,0
235574,5,0,2,0
440993,0,0,0,1
446993,0,0,0,0
301242,1,0,1,0
7722,0,0,0,1
123443,2,0,0,0
112143,0,0,0,1
912138,6,1,3,1
601305,0,0,0,1
602274,0,0,0,0
352099,0,0,1,0
660400,0,0,0,1
267614,0,0,0,0
974380,3,0,0,0
346585,0,1,0,0
536135,2,0,0,0
75569,2,0,0,0
645135,0,0,2,0
421596,6,2,10,0
164636,0,0,0,1
405100,1,0,1,1
315223,2,0,0,0
628723,1,0,4,0
483693,0,0,0,1
