vehicle_id,vehicle_year_after_2015,vehicle_type
569520,True,sedan
750365,True,sedan
199901,True,sedan
478866,True,sedan
731664,True,sedan
877557,True,sedan
930134,True,sedan
461006,True,sedan
68366,True,sedan
445911,True,sedan
275820,True,sedan
521399,True,sedan
429728,True,sedan
980181,True,sedan
240658,True,sedan
484399,True,sedan
912828,True,sedan
892754,True,sedan
633896,True,sedan
193110,True,sports car
98515,True,sedan
165623,True,sedan
493590,True,sedan
389792,True,sedan
642614,True,sedan
951465,True,sedan
496987,True,sedan
732437,True,sedan
146897,True,sedan
316173,True,sedan
9013,True,sedan
485660,True,sedan
80496,True,sedan
478336,True,sedan
10843,True,sedan
397446,True,sedan
101678,True,sedan
231661,True,sports car
173782,True,sedan
98839,True,sedan
105372,True,sedan
888828,True,sedan
37454,True,sedan
370044,True,sedan
768282,True,sedan
738729,True,sedan
329536,True,sedan
328531,True,sedan
131881,True,sedan
839572,True,sedan
589757,True,sedan
336859,True,sedan
367026,True,sedan
334687,True,sedan
623367,True,sedan
688440,True,sedan
547974,True,sedan
989064,True,sedan
675898,True,sedan
480452,True,sedan
93199,True,sedan
125802,True,sedan
616663,True,sedan
423497,True,sedan
492837,True,sedan
422563,True,sedan
185231,True,sedan
949152,True,sedan
859453,True,sedan
466578,True,sedan
998214,True,sedan
828462,True,sedan
511837,True,sedan
554995,True,sports car
680717,True,sedan
978021,True,sedan
6676,True,sedan
362280,True,sedan
883018,True,sedan
889355,True,sedan
198273,True,sedan
197763,True,sedan
545941,True,sedan
320444,True,sedan
305793,True,sedan
362190,True,sedan
62647,True,sedan
296948,True,sedan
673660,True,sedan
945867,True,sedan
241973,True,sedan
429503,True,sedan
810013,True,sports car
663458,True,sedan
879976,True,sedan
418841,True,sedan
542236,True,sedan
937573,True,sedan
670850,True,sedan
151252,True,sedan
706349,True,sedan
602998,True,sedan
242772,True,sedan
380740,True,sedan
727943,True,sedan
261229,True,sedan
60866,True,sedan
752797,True,sedan
45002,True,sedan
482448,True,sedan
549142,True,sedan
95138,True,sedan
615991,True,sedan
807847,True,sedan
758983,True,sedan
987114,True,sedan
873457,True,sedan
699703,True,sedan
563342,True,sedan
284106,True,sedan
78189,True,sedan
427520,True,sedan
689030,True,sedan
966467,True,sedan
288712,True,sedan
228114,True,sedan
63715,True,sedan
624077,True,sports car
726352,True,sedan
792396,True,sedan
768933,True,sedan
579336,True,sedan
648922,True,sedan
47909,True,sedan
619577,True,sedan
212678,True,sedan
995884,True,sedan
226326,True,sedan
943922,True,sedan
510116,True,sedan
536546,True,sedan
75592,True,sedan
936820,True,sedan
634050,True,sedan
558748,True,sedan
856630,True,sedan
200009,True,sedan
792252,True,sedan
462586,True,sedan
577965,True,sedan
896587,True,sedan
431538,True,sports car
164516,True,sedan
479577,True,sedan
938476,True,sedan
112454,True,sedan
91246,True,sedan
2743,True,sedan
248888,True,sedan
195523,True,sedan
981926,True,sedan
593426,True,sedan
235574,True,sedan
440993,True,sedan
446993,True,sedan
301242,True,sedan
7722,True,sedan
123443,True,sedan
112143,True,sedan
912138,True,sports car
601305,True,sedan
602274,True,sedan
352099,True,sedan
660400,True,sedan
267614,True,sports car
974380,True,sedan
346585,True,sedan
536135,True,sedan
75569,True,sedan
645135,True,sedan
421596,True,sedan
164636,True,sedan
405100,True,sedan
315223,True,sedan
628723,True,sedan
483693,True,sedan
416795,True,sedan
712973,True,sedan
755061,True,sedan
162614,True,sedan
466761,True,sedan
498232,True,sedan
170391,True,sedan
918640,True,sedan
273764,True,sedan
344228,True,sedan
809278,True,sedan
128369,True,sedan
194925,True,sedan
303507,True,sedan
244931,True,sedan
570030,True,sedan
918038,True,sedan
102325,True,sports car
761911,True,sedan
271656,True,sedan
820690,True,sedan
622930,True,sedan
81394,True,sedan
373844,True,sedan
368392,True,sedan
447175,True,sedan
182095,True,sedan
451696,True,sedan
617007,True,sedan
560773,True,sedan
438008,True,sedan
212573,True,sedan
492516,True,sedan
538225,True,sedan
658402,True,sedan
325516,True,sedan
905750,True,sedan
107029,True,sedan
124204,True,sedan
968669,True,sedan
993267,True,sedan
423938,True,sedan
125168,True,sedan
525386,True,sedan
500215,True,sedan
572994,True,sedan
319953,True,sports car
487355,True,sedan
232470,True,sedan
565198,True,sedan
371727,True,sedan
613091,True,sedan
88882,True,sedan
351757,True,sedan
735929,True,sedan
224890,True,sports car
864601,True,sedan
485798,True,sedan
733833,True,sedan
750465,True,sedan
660556,True,sedan
28109,True,sedan
219960,True,sports car
76297,True,sedan
403707,True,sports car
792734,True,sedan
519764,True,sedan
912172,True,sedan
560068,True,sedan
126077,True,sedan
220269,True,sedan
856902,True,sedan
241888,True,sedan
908199,True,sedan
373218,True,sedan
313500,True,sedan
919241,True,sedan
647888,True,sedan
161832,True,sedan
476769,True,sedan
447424,True,sedan
201707,True,sedan
903320,True,sedan
486639,True,sedan
252686,True,sedan
233200,True,sedan
667165,True,sedan
950296,True,sedan
